4133
22833
1,0,946,13
1,1,388,9
1,2,1944,17
1,3,3728,1
1,4,2587,8
1,5,422,17
1,6,965,19
1,7,3316,0
1,8,1133,4
1,9,1747,12
1,10,2095,4
1,11,322,16
1,12,3957,5
1,13,4130,7
1,14,3817,5
1,15,870,14
1,16,3865,12
1,17,87,7
1,18,2483,7
1,19,3992,11
1,20,3715,0
1,21,390,15
1,22,1341,19
1,23,1610,10
1,24,3558,14
1,25,3575,0
1,26,3881,18
1,27,2109,15
1,28,852,20
1,29,3897,0
1,30,1858,5
1,31,1554,13
1,32,463,14
1,33,2846,7
1,34,2455,9
1,35,163,12
1,36,10,12
1,37,759,18
1,38,2289,20
1,39,2814,6
1,40,3328,8
1,41,1444,3
1,42,3928,2
1,43,1469,18
1,44,1128,19
1,45,2819,1
1,46,1382,14
1,47,1795,2
1,48,2890,14
1,49,2244,13
1,50,3758,12
1,51,837,13
1,52,2005,5
1,53,2150,0
1,54,4093,2
1,55,472,20
1,56,2465,2
1,57,2224,1
1,58,1059,6
1,59,3752,7
1,60,1341,18
1,61,1713,16
1,62,157,7
1,63,510,0
1,64,1060,5
1,65,1307,10
1,66,3835,4
1,67,4093,8
1,68,1596,4
1,69,2035,6
1,70,2736,16
1,71,2200,20
1,72,163,20
1,73,1529,16
1,74,1841,20
1,75,1580,10
1,76,1102,13
1,77,4035,0
1,78,3251,0
1,79,1481,10
1,80,997,10
1,81,3065,5
1,82,3691,15
1,83,2046,4
1,84,531,11
1,85,1202,4
1,86,3029,10
1,87,3389,16
1,88,4130,8
1,89,3104,5
1,90,3448,8
1,91,626,16
1,92,364,18
1,93,286,16
1,94,1025,4
1,95,1251,17
1,96,2030,8
1,97,1693,13
1,98,3409,3
1,99,2564,5
1,100,1617,10
1,101,3547,8
1,102,1102,9
1,103,3879,9
1,104,2414,16
1,105,2875,4
1,106,2102,18
1,107,333,3
1,108,235,9
1,109,459,5
1,110,3288,11
1,111,2567,2
1,112,587,12
1,113,956,4
1,114,186,18
1,115,162,13
1,116,2254,7
1,117,2770,16
1,118,1196,17
1,119,2094,5
1,120,3688,10
1,121,2074,19
1,122,2411,5
1,123,2690,12
1,124,3926,14
1,125,501,14
1,126,3523,12
1,127,614,6
1,128,3016,18
1,129,1308,18
1,130,3845,1
1,131,2924,14
1,132,788,0
1,133,2919,20
1,134,3291,1
1,135,932,7
1,136,3788,5
1,137,46,10
1,138,3748,4
1,139,2080,2
1,140,4092,3
1,141,1616,13
1,142,388,12
1,143,1193,6
1,144,1952,5
1,145,4115,11
1,146,3823,14
1,147,2349,8
1,148,576,7
1,149,2927,11
1,150,2649,0
1,151,643,9
1,152,381,19
1,153,528,18
1,154,1345,3
1,155,371,18
1,156,3695,18
1,157,475,19
1,158,3798,16
