100
300
0,87,18
0,55,9
0,63,18
1,14,4
2,31,1
2,76,1
2,68,17
2,22,8
3,19,20
4,22,2
4,81,8
4,10,14
5,49,10
5,62,7
5,43,2
6,51,10
6,10,12
6,78,2
7,65,19
7,29,16
7,10,19
7,38,20
7,62,20
8,11,1
8,88,8
9,61,16
9,78,2
9,41,8
10,38,2
10,85,12
10,73,0
11,2,0
11,38,9
11,29,19
12,52,12
12,22,15
12,68,17
12,21,0
12,35,8
13,0,6
13,30,16
13,22,8
13,10,1
15,96,17
15,34,10
16,50,7
16,83,9
16,61,5
16,0,6
17,34,2
17,46,10
17,57,11
17,29,11
18,79,17
18,52,3
18,63,0
19,80,12
20,90,7
20,69,4
21,59,19
22,20,13
23,1,13
23,81,17
23,95,17
24,53,8
24,43,7
24,36,14
24,16,18
24,32,5
25,42,6
26,44,11
26,15,7
27,97,14
28,63,0
28,7,4
28,1,2
28,2,8
28,17,1
28,72,11
28,74,15
29,41,14
29,87,20
29,48,15
30,94,18
30,97,2
30,23,6
31,48,7
31,10,4
31,40,0
32,75,5
32,79,18
32,87,5
33,61,10
33,48,6
33,34,6
33,99,11
33,0,17
34,53,15
34,31,11
34,10,4
34,1,14
34,9,8
35,36,19
36,15,20
36,40,3
36,60,6
36,2,9
37,26,19
38,21,16
38,5,20
38,47,11
38,69,7
39,95,13
39,35,14
40,49,3
41,32,17
42,83,20
43,2,17
43,51,1
43,42,19
43,74,13
43,44,11
43,26,8
43,65,15
43,29,4
44,24,16
44,55,8
45,99,17
45,4,13
45,63,8
45,35,7
46,56,6
46,89,0
48,18,15
48,98,19
48,72,14
48,94,7
48,38,6
48,45,4
49,41,17
50,66,1
50,22,3
50,88,14
51,48,7
51,84,1
51,13,5
52,18,16
52,75,16
52,41,17
52,77,20
52,70,16
52,24,6
52,23,5
52,55,13
53,49,10
53,46,5
53,47,10
53,87,2
53,28,10
54,12,4
54,65,17
55,72,9
56,80,0
56,44,16
56,48,6
56,69,5
57,49,10
57,67,7
57,89,8
57,76,17
57,32,0
58,56,19
58,67,19
58,63,13
59,83,13
59,95,11
59,13,14
60,86,10
60,81,16
61,57,11
62,32,0
62,27,9
63,47,16
63,91,17
63,81,18
64,53,3
64,3,7
64,72,8
66,98,16
66,84,14
66,43,9
66,63,19
66,3,11
67,84,13
67,3,3
67,90,5
68,80,3
68,90,6
68,36,6
68,96,19
68,14,7
68,78,15
68,95,9
70,11,2
70,18,10
70,80,7
71,49,1
71,27,4
72,83,0
72,94,10
72,58,8
72,21,10
73,27,7
73,29,19
73,99,2
73,24,15
74,58,5
74,12,1
75,82,18
75,85,3
75,6,11
75,78,3
75,95,17
77,20,20
77,22,13
77,60,0
78,3,17
78,27,13
78,35,10
79,8,12
79,54,12
79,69,4
79,35,13
79,73,4
79,47,7
79,36,10
79,65,10
80,96,20
80,78,9
81,19,18
81,66,1
81,92,11
82,80,4
82,85,5
82,2,15
82,63,20
82,86,13
83,4,16
83,35,12
83,76,12
83,95,9
83,20,0
84,7,16
84,80,4
84,68,17
84,77,1
84,96,1
84,63,11
85,8,4
85,17,8
85,66,17
86,59,6
87,50,16
88,53,19
88,48,5
88,94,0
88,93,13
89,7,2
89,95,2
89,82,13
89,84,1
89,47,20
89,78,18
91,54,17
91,46,20
91,98,6
91,90,10
91,22,7
92,40,14
92,1,5
92,37,7
93,79,20
93,48,2
93,34,14
94,19,2
94,39,12
94,3,3
95,17,4
96,42,7
96,90,18
96,97,6
96,19,2
97,90,15
97,47,11
97,36,14
98,64,13
98,96,18
99,95,1
99,13,6
99,87,9
